chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
chr17	78445442	-	CG	0.8166666667	60.00	49	60	NA	NA	0.7008000677	0.8944231096
chr17	78445555	+	CG	0.7692307692	13.00	10	13	NA	NA	0.4974312600	0.9182062091
chr17	78445556	-	CG	0.7209302326	43.00	31	43	NA	NA	0.5730868710	0.8325354818
chr17	78445583	+	CG	0.8571428571	21.00	18	21	NA	NA	0.6536350585	0.9501907820
chr17	78445584	-	CG	0.9523809524	42.00	40	42	NA	NA	0.8420986468	0.9868427514
chr17	78445594	+	CG	0.8333333333	24.00	20	24	NA	NA	0.6414652961	0.9332143200
chr17	78445595	-	CG	0.8536585366	41.00	35	41	NA	NA	0.7155624473	0.9311584547
chr17	78445610	+	CG	0.8620689655	29.00	25	29	NA	NA	0.6944064229	0.9450264915
chr17	78445611	-	CG	0.8409090909	44.00	37	44	NA	NA	0.7063350944	0.9207342344
chr17	78445639	+	CG	0.6551724138	29.00	19	29	NA	NA	0.4734477651	0.8005949125
chr17	78445640	-	CG	0.6739130435	46.00	31	46	NA	NA	0.5296746274	0.7913423544
chr17	78445644	+	CG	0.7857142857	28.00	22	28	NA	NA	0.6046105292	0.8978767830
chr17	78445645	-	CG	0.7446808511	47.00	35	47	NA	NA	0.6049155086	0.8474699395
chr17	78445732	+	CG	0.8076923077	26.00	21	26	NA	NA	0.6212336385	0.9149306423
chr17	78445733	-	CG	0.7500000000	44.00	33	44	NA	NA	0.6055915019	0.8542593392
chr17	78445868	-	CG	0.1774193548	62.00	11	62	NA	NA	0.1020633343	0.2904180148
chr17	78445881	-	CG	0.2758620690	58.00	16	58	NA	NA	0.1775220368	0.4020489963
chr17	78445889	-	CG	0.2264150943	53.00	12	53	NA	NA	0.1345449998	0.3552652800
chr17	78445928	-	CG	0.1000000000	60.00	6	60	NA	NA	0.0466421995	0.2014969449
chr17	78446035	+	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78446036	-	CG	0.4912280702	57.00	28	57	NA	NA	0.3661606806	0.6174031967
chr17	78446075	+	CG	0.5000000000	2.00	1	2	NA	NA	0.0945286548	0.9054713452
chr17	78446076	-	CG	0.8135593220	59.00	48	59	NA	NA	0.6962080757	0.8925738776
chr17	78446079	+	CG	0.5000000000	2.00	1	2	NA	NA	0.0945286548	0.9054713452
chr17	78446080	-	CG	0.8983050847	59.00	53	59	NA	NA	0.7953595375	0.9525526735
chr17	78446121	+	CG	1.0000000000	2.00	2	2	NA	NA	0.3423719529	1.0000000000
chr17	78446122	-	CG	0.8852459016	61.00	54	61	NA	NA	0.7815546169	0.9432886936
chr17	78446164	+	CG	1.0000000000	1.00	1	1	NA	NA	0.2065432915	1.0000000000
chr17	78446165	-	CG	0.7205882353	68.00	49	68	NA	NA	0.6043634045	0.8132219499
chr17	78446178	+	CG	1.0000000000	1.00	1	1	NA	NA	0.2065432915	1.0000000000
chr17	78446179	-	CG	0.8196721311	61.00	50	61	NA	NA	0.7052560663	0.8962096594
chr17	78446206	-	CG	0.7894736842	57.00	45	57	NA	NA	0.6671363132	0.8752557343
chr17	78446271	+	CG	0.2000000000	5.00	1	5	NA	NA	0.0362231610	0.6244717359
chr17	78446272	-	CG	0.1914893617	47.00	9	47	NA	NA	0.1041581561	0.3254428006
chr17	78446282	+	CG	0.4285714286	7.00	3	7	NA	NA	0.1582169223	0.7495457696
chr17	78446283	-	CG	0.3953488372	43.00	17	43	NA	NA	0.2636510620	0.5442120341
chr17	78446323	+	CG	0.9166666667	12.00	11	12	NA	NA	0.6461140782	0.9851352905
chr17	78446324	-	CG	1.0000000000	21.00	21	21	NA	NA	0.8453561767	1.0000000000
chr17	78446387	+	CG	0.8260869565	23.00	19	23	NA	NA	0.6286194521	0.9302145965
chr17	78446388	-	CG	0.8666666667	15.00	13	15	NA	NA	0.6211750079	0.9626395301
chr17	78446570	+	CG	0.8181818182	33.00	27	33	NA	NA	0.6561143295	0.9138934877
chr17	78446571	-	CG	1.0000000000	5.00	5	5	NA	NA	0.5655085052	1.0000000000
chr17	78446635	+	CG	0.7419354839	31.00	23	31	NA	NA	0.5675352757	0.8629845626
chr17	78446636	-	CG	0.7058823529	17.00	12	17	NA	NA	0.4686646667	0.8672020613
chr17	78446718	+	CG	0.9655172414	29.00	28	29	NA	NA	0.8282410894	0.9938869434
chr17	78446719	-	CG	0.9062500000	32.00	29	32	NA	NA	0.7578150066	0.9675990374
chr17	78446742	+	CG	0.7727272727	22.00	17	22	NA	NA	0.5655964394	0.8987710921
chr17	78446743	-	CG	0.9375000000	32.00	30	32	NA	NA	0.7985253275	0.9826897968
chr17	78446749	+	CG	1.0000000000	19.00	19	19	NA	NA	0.8318156346	1.0000000000
chr17	78446750	-	CG	0.9428571429	35.00	33	35	NA	NA	0.8139261926	0.9841871704
chr17	78446759	+	CG	0.8750000000	16.00	14	16	NA	NA	0.6397666856	0.9650232507
chr17	78446760	-	CG	1.0000000000	35.00	35	35	NA	NA	0.9010957324	1.0000000000
chr17	78446781	+	CG	0.6153846154	13.00	8	13	NA	NA	0.3552248097	0.8229055342
chr17	78446782	-	CG	0.7555555556	45.00	34	45	NA	NA	0.6132633942	0.8576466497
chr17	78446932	+	CG	1.0000000000	8.00	8	8	NA	NA	0.6755843805	1.0000000000
chr17	78446933	-	CG	0.5576923077	52.00	29	52	NA	NA	0.4233952499	0.6840515281
chr17	78446964	+	CG	0.8571428571	21.00	18	21	NA	NA	0.6536350585	0.9501907820
chr17	78446965	-	CG	0.8596491228	57.00	49	57	NA	NA	0.7467529210	0.9271281077
chr17	78446972	+	CG	0.9000000000	20.00	18	20	NA	NA	0.6989617936	0.9721341060
chr17	78446973	-	CG	0.9074074074	54.00	49	54	NA	NA	0.8008987247	0.9597994579
chr17	78446985	+	CG	0.8181818182	22.00	18	22	NA	NA	0.6148297802	0.9269323398
chr17	78446986	-	CG	0.8039215686	51.00	41	51	NA	NA	0.6754165733	0.8898477516
chr17	78447056	+	CG	0.6190476190	42.00	26	42	NA	NA	0.4681376822	0.7500047910
chr17	78447057	-	CG	0.7291666667	48.00	35	48	NA	NA	0.5900276538	0.8343419644
chr17	78447068	+	CG	0.8604651163	43.00	37	43	NA	NA	0.7273612341	0.9344436573
chr17	78447069	-	CG	0.8913043478	46.00	41	46	NA	NA	0.7696189699	0.9526692392
chr17	78447077	+	CG	0.8571428571	42.00	36	42	NA	NA	0.7215861765	0.9328412432
chr17	78447078	-	CG	1.0000000000	44.00	44	44	NA	NA	0.9197016822	1.0000000000
chr17	78447090	+	CG	0.9782608696	46.00	45	46	NA	NA	0.8866444551	0.9961522449
chr17	78447091	-	CG	0.8936170213	47.00	42	47	NA	NA	0.7740546031	0.9536959004
chr17	78447105	+	CG	0.9795918367	49.00	48	49	NA	NA	0.8930623153	0.9963884205
chr17	78447106	-	CG	0.9400000000	50.00	47	50	NA	NA	0.8378265663	0.9793854036
chr17	78447110	+	CG	0.9591836735	49.00	47	49	NA	NA	0.8628671652	0.9887346031
chr17	78447111	-	CG	1.0000000000	46.00	46	46	NA	NA	0.9229238227	1.0000000000
chr17	78447143	+	CG	0.9387755102	49.00	46	49	NA	NA	0.8347925658	0.9789602350
chr17	78447144	-	CG	0.9189189189	37.00	34	37	NA	NA	0.7869900750	0.9720399336
chr17	78447193	+	CG	1.0000000000	55.00	55	55	NA	NA	0.9347128562	1.0000000000
chr17	78447194	-	CG	1.0000000000	24.00	24	24	NA	NA	0.8620194242	1.0000000000
chr17	78447229	+	CG	0.9183673469	49.00	45	49	NA	NA	0.8081061296	0.9677977038
chr17	78447230	-	CG	0.8750000000	24.00	21	24	NA	NA	0.6899571185	0.9565574496
chr17	78447248	+	CG	1.0000000000	53.00	53	53	NA	NA	0.9324156955	1.0000000000
chr17	78447249	-	CG	0.9687500000	32.00	31	32	NA	NA	0.8425539220	0.9944622826
chr17	78447278	+	CG	0.9642857143	56.00	54	56	NA	NA	0.8788099415	0.9901507815
chr17	78447279	-	CG	0.9714285714	35.00	34	35	NA	NA	0.8546659091	0.9949386386
chr17	78447292	+	CG	0.9285714286	56.00	52	56	NA	NA	0.8302431717	0.9718744188
chr17	78447293	-	CG	0.9393939394	33.00	31	33	NA	NA	0.8039341828	0.9832194696
chr17	78447310	+	CG	0.9787234043	47.00	46	47	NA	NA	0.8888676348	0.9962343290
chr17	78447311	-	CG	0.8888888889	36.00	32	36	NA	NA	0.7468487098	0.9559343109
chr17	78447334	+	CG	0.8979591837	49.00	44	49	NA	NA	0.7824337584	0.9556211075
chr17	78447335	-	CG	0.9722222222	36.00	35	36	NA	NA	0.8582996626	0.9950797197
chr17	78447352	+	CG	0.9200000000	50.00	46	50	NA	NA	0.8116149745	0.9684509967
chr17	78447353	-	CG	0.9333333333	30.00	28	30	NA	NA	0.7867618228	0.9815233647
chr17	78447370	+	CG	0.9230769231	52.00	48	52	NA	NA	0.8182618932	0.9696811457
chr17	78447371	-	CG	1.0000000000	26.00	26	26	NA	NA	0.8712669562	1.0000000000
chr17	78447377	+	CG	0.9230769231	52.00	48	52	NA	NA	0.8182618932	0.9696811457
chr17	78447378	-	CG	0.8846153846	26.00	23	26	NA	NA	0.7102370691	0.9599682818
chr17	78447476	+	CG	0.7346938776	49.00	36	49	NA	NA	0.5973744385	0.8378886875
chr17	78447477	-	CG	0.8750000000	8.00	7	8	NA	NA	0.5291051942	0.9775830911
chr17	78447553	+	CG	0.6585365854	41.00	27	41	NA	NA	0.5054955435	0.7844138263
chr17	78447554	-	CG	0.7000000000	10.00	7	10	NA	NA	0.3967732200	0.8922107125
chr17	78447585	+	CG	0.9512195122	41.00	39	41	NA	NA	0.8386073304	0.9865193377
chr17	78447586	-	CG	0.8000000000	15.00	12	15	NA	NA	0.5481406467	0.9295257936
chr17	78447633	+	CG	0.3589743590	39.00	14	39	NA	NA	0.2274188470	0.5158213682
chr17	78447634	-	CG	0.2857142857	21.00	6	21	NA	NA	0.1381367575	0.4995677382
chr17	78447658	+	CG	0.4000000000	35.00	14	35	NA	NA	0.2555050493	0.5642758042
chr17	78447659	-	CG	0.6666666667	27.00	18	27	NA	NA	0.4782441987	0.8135694556
chr17	78447679	+	CG	0.8709677419	31.00	27	31	NA	NA	0.7114724305	0.9486579884
chr17	78447680	-	CG	0.8947368421	38.00	34	38	NA	NA	0.7586916880	0.9582981021
chr17	78447699	+	CG	0.5652173913	23.00	13	23	NA	NA	0.3681104931	0.7436563167
chr17	78447700	-	CG	0.7500000000	40.00	30	40	NA	NA	0.5980574093	0.8581303210
chr17	78447736	+	CG	0.7272727273	11.00	8	11	NA	NA	0.4343497070	0.9025411943
chr17	78447737	-	CG	0.6111111111	54.00	33	54	NA	NA	0.4778805658	0.7295825749
chr17	78447917	+	CG	0.8333333333	6.00	5	6	NA	NA	0.4364905634	0.9699474141
chr17	78447918	-	CG	0.8113207547	53.00	43	53	NA	NA	0.6864128355	0.8941478806
chr17	78447952	+	CG	1.0000000000	5.00	5	5	NA	NA	0.5655085052	1.0000000000
chr17	78447953	-	CG	0.9130434783	46.00	42	46	NA	NA	0.7967506436	0.9656646881
chr17	78448045	-	CG	0.7916666667	48.00	38	48	NA	NA	0.6574082648	0.8826985220
chr17	78448058	-	CG	0.7659574468	47.00	36	47	NA	NA	0.6277546774	0.8639686358
chr17	78448064	-	CG	0.9148936170	47.00	43	47	NA	NA	0.8006819480	0.9664064205
chr17	78448212	+	CG	0.3333333333	3.00	1	3	NA	NA	0.0614903153	0.7923450449
chr17	78448213	-	CG	0.3720930233	43.00	16	43	NA	NA	0.2437613889	0.5214046173
chr17	78448285	+	CG	0.5000000000	2.00	1	2	NA	NA	0.0945286548	0.9054713452
chr17	78448286	-	CG	0.3617021277	47.00	17	47	NA	NA	0.2396602229	0.5046436543
chr17	78448363	+	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78448364	-	CG	0.1739130435	23.00	4	23	NA	NA	0.0697854035	0.3713805479
chr17	78448429	+	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78448430	-	CG	0.0000000000	35.00	0	35	NA	NA	0.0000000000	0.0989042676
chr17	78448455	-	CG	0.2083333333	48.00	10	48	NA	NA	0.1173014780	0.3425917352
chr17	78448548	+	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
chr17	78448549	-	CG	0.0000000000	54.00	0	54	NA	NA	0.0000000000	0.0664158668
chr17	78448560	+	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
chr17	78448561	-	CG	0.0000000000	48.00	0	48	NA	NA	0.0000000000	0.0741026512
chr17	78448577	+	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78448578	-	CG	0.0000000000	45.00	0	45	NA	NA	0.0000000000	0.0786542619
chr17	78448590	+	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78448591	-	CG	0.0263157895	38.00	1	38	NA	NA	0.0046604676	0.1349517844
chr17	78448595	+	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78448596	-	CG	0.0000000000	39.00	0	39	NA	NA	0.0000000000	0.0896698536
chr17	78448640	+	CG	0.0000000000	7.00	0	7	NA	NA	0.0000000000	0.3543388430
chr17	78448641	-	CG	0.0000000000	35.00	0	35	NA	NA	0.0000000000	0.0989042676
chr17	78448663	+	CG	0.0714285714	14.00	1	14	NA	NA	0.0127218861	0.3146926955
chr17	78448664	-	CG	0.0384615385	26.00	1	26	NA	NA	0.0068218090	0.1889317699
chr17	78448675	+	CG	0.0588235294	17.00	1	17	NA	NA	0.0104601306	0.2698254520
chr17	78448676	-	CG	0.0000000000	23.00	0	23	NA	NA	-0.0000000000	0.1431211254
chr17	78448827	+	CG	0.0151515152	66.00	1	66	NA	NA	0.0026795715	0.0809611240
chr17	78448828	-	CG	0.0000000000	6.00	0	6	NA	NA	0.0000000000	0.3903430337
chr17	78448842	+	CG	0.0147058824	68.00	1	68	NA	NA	0.0026006166	0.0787116036
chr17	78448843	-	CG	0.1250000000	8.00	1	8	NA	NA	0.0224169089	0.4708948058
chr17	78448870	+	CG	0.0454545455	66.00	3	66	NA	NA	0.0155779919	0.1253351602
chr17	78448871	-	CG	0.0000000000	11.00	0	11	NA	NA	0.0000000000	0.2588400172
chr17	78448875	+	CG	0.0666666667	60.00	4	60	NA	NA	0.0262282741	0.1592557989
chr17	78448876	-	CG	0.0000000000	12.00	0	12	NA	NA	0.0000000000	0.2425007575
chr17	78448882	+	CG	0.0615384615	65.00	4	65	NA	NA	0.0241886634	0.1478236082
chr17	78448883	-	CG	0.1000000000	10.00	1	10	NA	NA	0.0178757495	0.4041563855
chr17	78448888	+	CG	0.0806451613	62.00	5	62	NA	NA	0.0349378319	0.1752879221
chr17	78448889	-	CG	0.2000000000	10.00	2	10	NA	NA	0.0566809480	0.5098431533
chr17	78448917	+	CG	0.1492537313	67.00	10	67	NA	NA	0.0831418421	0.2534061749
chr17	78448918	-	CG	0.0909090909	11.00	1	11	NA	NA	0.0162317523	0.3773646255
chr17	78448976	+	CG	0.0000000000	52.00	0	52	NA	NA	0.0000000000	0.0687945904
chr17	78448977	-	CG	0.0000000000	8.00	0	8	NA	NA	0.0000000000	0.3244156195
chr17	78449033	+	CG	0.0000000000	35.00	0	35	NA	NA	0.0000000000	0.0989042676
chr17	78449034	-	CG	0.0000000000	3.00	0	3	NA	NA	0.0000000000	0.5615060804
chr17	78449131	+	CG	0.0294117647	34.00	1	34	NA	NA	0.0052107719	0.1491590222
chr17	78449132	-	CG	0.3333333333	3.00	1	3	NA	NA	0.0614903153	0.7923450449
chr17	78449162	+	CG	0.0588235294	34.00	2	34	NA	NA	0.0162823131	0.1909393689
chr17	78449163	-	CG	0.6666666667	3.00	2	3	NA	NA	0.2076549551	0.9385096847
chr17	78449177	+	CG	0.2222222222	36.00	8	36	NA	NA	0.1171619297	0.3808501983
chr17	78449178	-	CG	0.5000000000	6.00	3	6	NA	NA	0.1876128069	0.8123871931
chr17	78449198	+	CG	0.4210526316	38.00	16	38	NA	NA	0.2785227481	0.5780792939
chr17	78449199	-	CG	0.4444444444	9.00	4	9	NA	NA	0.1887754295	0.7333526543
chr17	78449203	+	CG	0.1351351351	37.00	5	37	NA	NA	0.0591320726	0.2797772747
chr17	78449204	-	CG	0.0833333333	12.00	1	12	NA	NA	0.0148647095	0.3538859218
chr17	78449245	+	CG	0.1041666667	48.00	5	48	NA	NA	0.0453210509	0.2216768813
chr17	78449246	-	CG	0.1363636364	22.00	3	22	NA	NA	0.0474891726	0.3333541188
chr17	78449251	+	CG	0.0638297872	47.00	3	47	NA	NA	0.0219449870	0.1716287793
chr17	78449252	-	CG	0.1304347826	23.00	3	23	NA	NA	0.0453757651	0.3212789797
chr17	78449262	+	CG	0.0434782609	46.00	2	46	NA	NA	0.0120051936	0.1453252292
chr17	78449263	-	CG	0.0000000000	25.00	0	25	NA	NA	0.0000000000	0.1331964940
chr17	78449289	+	CG	0.0000000000	49.00	0	49	NA	NA	0.0000000000	0.0727002967
chr17	78449290	-	CG	0.0000000000	30.00	0	30	NA	NA	-0.0000000000	0.1135170914
chr17	78449317	+	CG	0.0217391304	46.00	1	46	NA	NA	0.0038477551	0.1133555449
chr17	78449318	-	CG	0.0588235294	34.00	2	34	NA	NA	0.0162823131	0.1909393689
chr17	78449323	+	CG	0.0000000000	46.00	0	46	NA	NA	-0.0000000000	0.0770761773
chr17	78449324	-	CG	0.0571428571	35.00	2	35	NA	NA	0.0158128296	0.1860738074
chr17	78449331	+	CG	0.0652173913	46.00	3	46	NA	NA	0.0224274545	0.1750300910
chr17	78449332	-	CG	0.0882352941	34.00	3	34	NA	NA	0.0304653903	0.2296081795
chr17	78449353	+	CG	0.2765957447	47.00	13	47	NA	NA	0.1693640599	0.4175883570
chr17	78449354	-	CG	0.4571428571	35.00	16	35	NA	NA	0.3046577363	0.6181054866
chr17	78449359	+	CG	0.0434782609	46.00	2	46	NA	NA	0.0120051936	0.1453252292
chr17	78449360	-	CG	0.0833333333	36.00	3	36	NA	NA	0.0287480893	0.2182701028
chr17	78449377	+	CG	0.0000000000	44.00	0	44	NA	NA	0.0000000000	0.0802983178
chr17	78449378	-	CG	0.0000000000	34.00	0	34	NA	NA	0.0000000000	0.1015179062
chr17	78449383	+	CG	0.0243902439	41.00	1	41	NA	NA	0.0043184203	0.1259534701
chr17	78449384	-	CG	0.0526315789	38.00	2	38	NA	NA	0.0145539024	0.1728576688
chr17	78449424	+	CG	0.0000000000	47.00	0	47	NA	NA	0.0000000000	0.0755601712
chr17	78449425	-	CG	0.0000000000	34.00	0	34	NA	NA	0.0000000000	0.1015179062
chr17	78449452	+	CG	0.0384615385	52.00	2	52	NA	NA	0.0106114883	0.1298142874
chr17	78449453	-	CG	0.1153846154	26.00	3	26	NA	NA	0.0400317182	0.2897629309
chr17	78449508	+	CG	0.0000000000	54.00	0	54	NA	NA	0.0000000000	0.0664158668
chr17	78449509	-	CG	0.0000000000	8.00	0	8	NA	NA	0.0000000000	0.3244156195
chr17	78449522	+	CG	0.0000000000	57.00	0	57	NA	NA	0.0000000000	0.0631410088
chr17	78449523	-	CG	0.0000000000	11.00	0	11	NA	NA	0.0000000000	0.2588400172
chr17	78449535	+	CG	0.0175438596	57.00	1	57	NA	NA	0.0031035847	0.0929096694
chr17	78449536	-	CG	0.1666666667	12.00	2	12	NA	NA	0.0469641476	0.4480363574
chr17	78449550	+	CG	0.0000000000	66.00	0	66	NA	NA	0.0000000000	0.0550044673
chr17	78449551	-	CG	0.0000000000	11.00	0	11	NA	NA	0.0000000000	0.2588400172
chr17	78449557	+	CG	0.0000000000	60.00	0	60	NA	NA	-0.0000000000	0.0601739305
chr17	78449558	-	CG	0.0000000000	13.00	0	13	NA	NA	0.0000000000	0.2281018431
chr17	78449562	+	CG	0.0163934426	61.00	1	61	NA	NA	0.0028996561	0.0871906563
chr17	78449563	-	CG	0.0000000000	13.00	0	13	NA	NA	0.0000000000	0.2281018431
chr17	78449564	+	CG	0.0000000000	66.00	0	66	NA	NA	0.0000000000	0.0550044673
chr17	78449565	-	CG	0.0000000000	13.00	0	13	NA	NA	0.0000000000	0.2281018431
chr17	78449571	+	CG	0.0000000000	69.00	0	69	NA	NA	0.0000000000	0.0527390941
chr17	78449572	-	CG	0.0000000000	12.00	0	12	NA	NA	0.0000000000	0.2425007575
chr17	78449585	+	CG	0.0000000000	69.00	0	69	NA	NA	0.0000000000	0.0527390941
chr17	78449586	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449587	+	CG	0.0000000000	69.00	0	69	NA	NA	0.0000000000	0.0527390941
chr17	78449588	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449590	+	CG	0.0000000000	64.00	0	64	NA	NA	0.0000000000	0.0566260230
chr17	78449591	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449592	+	CG	0.0000000000	66.00	0	66	NA	NA	0.0000000000	0.0550044673
chr17	78449593	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449606	+	CG	0.0000000000	67.00	0	67	NA	NA	0.0000000000	0.0542280242
chr17	78449607	-	CG	0.0000000000	9.00	0	9	NA	NA	0.0000000000	0.2991527536
chr17	78449612	+	CG	0.0151515152	66.00	1	66	NA	NA	0.0026795715	0.0809611240
chr17	78449613	-	CG	0.0000000000	9.00	0	9	NA	NA	0.0000000000	0.2991527536
chr17	78449618	+	CG	0.0312500000	64.00	2	64	NA	NA	0.0086119577	0.1069749388
chr17	78449619	-	CG	0.0909090909	11.00	1	11	NA	NA	0.0162317523	0.3773646255
chr17	78449639	+	CG	0.0000000000	53.00	0	53	NA	NA	-0.0000000000	0.0675843045
chr17	78449640	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449647	+	CG	0.0196078431	51.00	1	51	NA	NA	0.0034696033	0.1030480768
chr17	78449648	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449650	+	CG	0.0200000000	50.00	1	50	NA	NA	0.0035391681	0.1049568647
chr17	78449651	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449652	+	CG	0.0196078431	51.00	1	51	NA	NA	0.0034696033	0.1030480768
chr17	78449653	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449660	+	CG	0.0000000000	50.00	0	50	NA	NA	0.0000000000	0.0713500342
chr17	78449661	-	CG	0.0000000000	9.00	0	9	NA	NA	0.0000000000	0.2991527536
chr17	78449666	+	CG	0.0212765957	47.00	1	47	NA	NA	0.0037656710	0.1111323652
chr17	78449667	-	CG	0.0000000000	9.00	0	9	NA	NA	0.0000000000	0.2991527536
chr17	78449668	+	CG	0.0000000000	44.00	0	44	NA	NA	0.0000000000	0.0802983178
chr17	78449669	-	CG	0.0000000000	9.00	0	9	NA	NA	0.0000000000	0.2991527536
chr17	78449679	+	CG	0.0000000000	43.00	0	43	NA	NA	0.0000000000	0.0820125700
chr17	78449680	-	CG	0.0000000000	9.00	0	9	NA	NA	0.0000000000	0.2991527536
chr17	78449683	+	CG	0.0000000000	44.00	0	44	NA	NA	0.0000000000	0.0802983178
chr17	78449684	-	CG	0.0000000000	9.00	0	9	NA	NA	0.0000000000	0.2991527536
chr17	78449691	+	CG	0.0222222222	45.00	1	45	NA	NA	0.0039334975	0.1156694639
chr17	78449692	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449693	+	CG	0.0000000000	40.00	0	40	NA	NA	-0.0000000000	0.0876245393
chr17	78449694	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449695	+	CG	0.0238095238	42.00	1	42	NA	NA	0.0042152955	0.1232148117
chr17	78449696	-	CG	0.0000000000	11.00	0	11	NA	NA	0.0000000000	0.2588400172
chr17	78449704	+	CG	0.0000000000	47.00	0	47	NA	NA	0.0000000000	0.0755601712
chr17	78449705	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78449710	+	CG	0.0434782609	46.00	2	46	NA	NA	0.0120051936	0.1453252292
chr17	78449711	-	CG	0.0000000000	9.00	0	9	NA	NA	0.0000000000	0.2991527536
chr17	78449725	+	CG	0.0196078431	51.00	1	51	NA	NA	0.0034696033	0.1030480768
chr17	78449726	-	CG	0.0000000000	6.00	0	6	NA	NA	0.0000000000	0.3903430337
chr17	78449736	+	CG	0.0000000000	46.00	0	46	NA	NA	-0.0000000000	0.0770761773
chr17	78449737	-	CG	0.0000000000	5.00	0	5	NA	NA	-0.0000000000	0.4344914948
chr17	78449759	+	CG	0.0196078431	51.00	1	51	NA	NA	0.0034696033	0.1030480768
chr17	78449760	-	CG	0.0000000000	13.00	0	13	NA	NA	0.0000000000	0.2281018431
chr17	78449763	+	CG	0.0192307692	52.00	1	52	NA	NA	0.0034027204	0.1012074627
chr17	78449764	-	CG	0.0000000000	14.00	0	14	NA	NA	0.0000000000	0.2153170119
chr17	78449768	+	CG	0.0545454545	55.00	3	55	NA	NA	0.0187228760	0.1485329430
chr17	78449769	-	CG	0.0000000000	15.00	0	15	NA	NA	-0.0000000000	0.2038892663
chr17	78449780	+	CG	0.0714285714	56.00	4	56	NA	NA	0.0281255812	0.1697568283
chr17	78449781	-	CG	0.0000000000	20.00	0	20	NA	NA	-0.0000000000	0.1611301255
chr17	78449786	+	CG	0.0491803279	61.00	3	61	NA	NA	0.0168656768	0.1349134279
chr17	78449787	-	CG	0.0000000000	22.00	0	22	NA	NA	0.0000000000	0.1486595257
chr17	78449792	+	CG	0.0468750000	64.00	3	64	NA	NA	0.0160687254	0.1289986079
chr17	78449793	-	CG	0.0454545455	22.00	1	22	NA	NA	0.0080692193	0.2179848950
chr17	78449794	+	CG	0.0655737705	61.00	4	61	NA	NA	0.0257932870	0.1568302140
chr17	78449795	-	CG	0.0000000000	26.00	0	26	NA	NA	0.0000000000	0.1287330438
chr17	78449796	+	CG	0.0000000000	59.00	0	59	NA	NA	0.0000000000	0.0611314798
chr17	78449797	-	CG	0.0000000000	28.00	0	28	NA	NA	0.0000000000	0.1206472037
chr17	78449798	+	CG	0.0169491525	59.00	1	59	NA	NA	0.0029981567	0.0899593746
chr17	78449799	-	CG	0.0000000000	30.00	0	30	NA	NA	-0.0000000000	0.1135170914
chr17	78449805	+	CG	0.0000000000	55.00	0	55	NA	NA	0.0000000000	0.0652871438
chr17	78449806	-	CG	0.0000000000	36.00	0	36	NA	NA	0.0000000000	0.0964218304
chr17	78449819	+	CG	0.0163934426	61.00	1	61	NA	NA	0.0028996561	0.0871906563
chr17	78449820	-	CG	0.0250000000	40.00	1	40	NA	NA	0.0044267174	0.1288165949
chr17	78449830	+	CG	0.0461538462	65.00	3	65	NA	NA	0.0158195536	0.1271405171
chr17	78449831	-	CG	0.0263157895	38.00	1	38	NA	NA	0.0046604676	0.1349517844
chr17	78449847	+	CG	0.0156250000	64.00	1	64	NA	NA	0.0027634708	0.0833429890
chr17	78449848	-	CG	0.0000000000	48.00	0	48	NA	NA	0.0000000000	0.0741026512
chr17	78449860	+	CG	0.0468750000	64.00	3	64	NA	NA	0.0160687254	0.1289986079
chr17	78449861	-	CG	0.0196078431	51.00	1	51	NA	NA	0.0034696033	0.1030480768
chr17	78449865	+	CG	0.0151515152	66.00	1	66	NA	NA	0.0026795715	0.0809611240
